Ticket,Open Date,Close Date,Symbol,Action,Units/Lots,SL,TP,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Comment,Magic Number,Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(USD),Min(pips),Min(USD),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(USD),Duration
142880682,06/23/2023 07:45,06/23/2023 16:19,USDCHF,Sell,0.080,0.00000,0.00000,0.89715,0.89533,0.0000,0.0,18.2,16.18,0.4,Sell Baby Termite: USDCHF,12345.0,13.6,1h 9m,42.8,1.83,22.1,19.669,-40.4,-35.956,35.4,93.8,-3.9,-3.47,0 days 08:34:16
142587592,06/09/2023 15:40,06/23/2023 15:33,NZDCHF,Sell,0.070,0.00000,0.00000,0.55128,0.54923,0.0000,0.0,20.5,15.92,0.39,Sell Baby Termite: NZDCHF,12345.0,1.5,5h 2m,85.0,4.02,20.9,16.302,-84.1,-65.598,19.9,99.6,-0.4,-0.31,13 days 23:53:15
142825979,06/21/2023 11:50,06/21/2023 13:30,EURNZD,Sell,0.080,0.00000,0.00000,1.77228,1.76901,0.0000,0.0,32.7,16.07,0.4,Sell Baby Termite: EURNZD,12345.0,67.0,1h 7m,10.6,0.29,36.3,17.787,-10.6,-5.194,77.4,92.3,-3.6,-1.76,0 days 01:40:14
142822519,06/21/2023 08:20,06/21/2023 09:33,EURNZD,Buy,0.080,0.00000,0.00000,1.76535,1.76861,0.0000,0.0,32.6,16.01,0.4,Buy Baby Termite: EURNZD,12345.0,97.3,1h 10m,13.8,0.04,32.6,15.974,-1.4,-0.6859999999999999,95.9,100.0,0.0,0.0,0 days 01:12:54
142724473,06/15/2023 20:15,06/16/2023 17:51,EURUSD,Sell,0.070,0.00000,0.00000,1.09414,1.09189,0.0000,0.0,22.5,15.75,0.4,Sell Baby Termite: EURUSD,12345.0,16.3,3h 31m,30.7,1.13,22.5,15.749999999999998,-25.5,-17.849999999999998,46.9,100.0,0.0,0.0,0 days 21:36:08
142705376,06/15/2023 09:05,06/15/2023 13:30,CADCHF,Sell,0.070,0.00000,0.00000,0.67786,0.67586,0.0000,0.0,20.0,15.47,0.4,Sell Baby Termite: CADCHF,12345.0,48.2,2h 7m,10.1,0.37,21.3,16.401,-7.8,-6.006,73.2,95.5,-1.3,-1.0,0 days 04:25:27
142681672,06/14/2023 18:45,06/14/2023 21:00,EURUSD,Sell,0.210,0.00000,0.00000,1.08566,1.08256,0.0000,0.0,31.0,65.1,1.7,Sell Baby Termite: EURUSD,12345.0,32.6,44m,9.2,0.21,33.9,71.19,-7.1,-14.91,82.7,92.9,-2.9,-6.09,0 days 02:15:55
142606840,06/12/2023 10:30,06/14/2023 21:00,EURUSD,Sell,0.070,0.00000,0.00000,1.07527,1.08249,0.0000,0.0,-72.2,-50.54,-1.31,Sell Baby Termite: EURUSD,12345.0,5.2,3h 2m,118.8,12.99,8.5,5.949999999999999,-110.3,-77.21,7.2,32.1,-80.7,-56.49,2 days 10:30:58
142612505,06/12/2023 15:20,06/14/2023 15:41,CADCHF,Sell,0.210,0.00000,0.00000,0.67908,0.67659,0.0000,0.0,24.9,57.83,1.52,Sell Baby Termite: CADCHF,12345.0,25.0,12h 5m,48.1,0.81,30.8,71.456,-25.0,-57.99999999999999,55.2,89.4,-5.9,-13.69,2 days 00:21:11
142419505,06/01/2023 16:45,06/14/2023 15:41,CADCHF,Sell,0.070,0.00000,0.00000,0.67108,0.67659,0.0000,0.0,-55.1,-43.08,-1.12,Sell Baby Termite: CADCHF,12345.0,0.0,0s,108.2,108.7,0.0,0.0,-108.2,-84.396,0.0,49.1,-55.1,-42.98,12 days 22:56:11
142568673,06/08/2023 18:30,06/09/2023 17:36,EURUSD,Sell,0.070,0.00000,0.00000,1.07777,1.07549,0.0000,0.0,22.8,15.96,0.41,Sell Baby Termite: EURUSD,12345.0,43.0,9h 56m,25.0,0.38,22.9,16.029999999999998,-8.8,-6.16,72.2,99.7,-0.1,-0.07,0 days 23:06:04
142566391,06/08/2023 17:10,06/09/2023 14:12,NZDCHF,Buy,0.240,0.00000,0.00000,0.54825,0.55057,0.0000,0.0,23.2,61.42,1.62,Buy Baby Termite: NZDCHF,12345.0,36.4,7h 39m,16.5,0.39,24.2,64.13,-9.5,-25.175,71.8,97.0,-1.0,-2.65,0 days 21:02:32
142232092,05/24/2023 08:35,06/09/2023 14:12,NZDCHF,Buy,0.080,0.00000,0.00000,0.55588,0.55057,0.0000,0.0,-53.1,-47.33,-1.23,Buy Baby Termite: NZDCHF,12345.0,0.0,0s,109.4,109.89,0.0,0.0,-109.4,-97.366,0.0,51.5,-53.1,-47.26,16 days 05:37:18
142495696,06/06/2023 10:05,06/06/2023 10:46,USDCHF,Buy,0.070,0.00000,0.00000,0.90404,0.90601,0.0000,0.0,19.7,15.14,0.4,Buy Baby Termite: USDCHF,12345.0,71.5,29m,6.3,0.28,22.9,17.633,-6.3,-4.851,78.4,89.0,-3.2,-2.46,0 days 00:41:11
142465352,06/05/2023 04:20,06/05/2023 17:01,USDCHF,Sell,0.070,0.00000,0.00000,0.91044,0.90826,0.0000,0.0,21.8,16.72,0.44,Sell Baby Termite: USDCHF,12345.0,47.2,5h 59m,23.0,0.57,24.2,18.634,-13.8,-10.626,63.7,93.7,-2.4,-1.85,0 days 12:41:03
142424570,06/01/2023 18:35,06/02/2023 17:57,EURUSD,Sell,0.070,0.00000,0.00000,1.07456,1.07241,0.0000,0.0,21.5,15.05,0.4,Sell Baby Termite: EURUSD,12345.0,5.7,1h 19m,32.9,1.41,22.3,15.61,-31.5,-22.05,41.4,98.5,-0.8,-0.56,0 days 23:22:20
